Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
MODULE SHELL — LMS,,,,,Not Started,,,,
LMS,Frontend,LMS ModuleShell + Masters cards,Frontend,"Course Categories, Learning Paths, Assignment Templates, Quiz Templates, Assessment Types.",Not Started,Precious,Critical,Phase 2,
MASTERS,,,,,Not Started,,,,
LMS masters,DB,"Category, LearningPath, AssignmentTemplate, QuizTemplate, AssessmentType",DB,Config masters per spec.,Not Started,Precious,High,Phase 2,
LMS masters,Backend/UI,CRUD + master pages,All,pages/lms/masters/*.,Not Started,Precious,High,Phase 2,
TRANSACTIONS,,,,,Not Started,,,,
Course,DB,models/LmsCourse.js,DB,"title, subject_id?, faculty_id, modules/topics, objectives, published.",Not Started,Precious,Critical,Phase 2,
Content,Backend/UI,Content upload + publish,All,Files/links/videos metadata; publish to enrolled students.,Not Started,Precious,Critical,Phase 2,
Enrollment sync,Backend,Enroll students from Academics batch/subject,Backend,Pull registered students via Academics/Students APIs.,Not Started,Precious,Critical,Phase 2,
Assignment/Quiz,Backend/UI,Create assignments & quizzes; student submission,All,Submission records; due dates.,Not Started,Precious,Critical,Phase 2,
Forums/Live,Backend/UI,Discussion forums + live class stub,All,Forum threads; live class link stub (Zoom/Meet URL).,Not Started,Precious,Medium,Phase 3,
Evaluation,Backend/UI,Evaluate submissions + AI-assist stub,All,Scores + feedback; AI grading assist stub.,Not Started,Precious,High,Phase 2,
Progress,Backend,Learning progress + course completion,Backend,Realtime progress %; completion status.,Not Started,Precious,Critical,Phase 2,
REPORTS,,,,,Not Started,,,,
Reports,All,"Learning Progress, Course Completion, Assignment Status, Quiz Analytics, Engagement",All,pages/lms/reports/*.,Not Started,Precious,High,Phase 2,
