Sheet,Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
01 Architecture-Foundation,Stack,Monorepo,Project scaffold (backend/ + frontend/),All,"Root scripts; backend Node+Express .js; frontend React+Vite .jsx; .env.example for MONGO_URI, JWT_SECRET, PORT, CLIENT_URL.",Not Started,Arnav,Critical,Phase 0,Precious clones after scaffold merged — do not scaffold in parallel.
01 Architecture-Foundation,Stack,Frontend,React 18 + Vite (frontend/),Frontend,Responsive app; path aliases; ESLint. Mobile-friendly breakpoints for ERP tables.,Not Started,Arnav,Critical,Phase 0,
01 Architecture-Foundation,Stack,Backend,Node.js + Express API (backend/),Backend,"REST folders: models/, routes/, controllers/, services/, middleware/, seeds/, utils/, config/.",Not Started,Arnav,Critical,Phase 0,
01 Architecture-Foundation,Stack,Database,MongoDB + Mongoose connection,DB,config/db.js; GET /api/health.,Not Started,Arnav,Critical,Phase 0,
01 Architecture-Foundation,Stack,Auth,JWT login + /api/auth/me,Backend,POST /api/auth/login; Bearer token; password_hash; /me returns user + permissions + institution context.,Not Started,Arnav,Critical,Phase 0,
01 Architecture-Foundation,Stack,Charts,Recharts (or Chart.js) shared wrappers,Frontend,frontend/src/components/charts/ for dashboard + MIS reuse.,Not Started,Arnav,Medium,Phase 2,Precious imports wrappers — does not rewrite chart kit.
01 Architecture-Foundation,Stack,Email,Email service stub (invoice/receipt later),Backend,utils/mailer.js stub; env SMTP placeholders. Wired in Fees Phase 2 for Tax Invoice + Receipt auto-email (client process note).,Not Started,Arnav,High,Phase 2,Aligns with client automated customer communication.
01 Architecture-Foundation,Architecture,Route split,backend/routes/coreRoutes.js,Backend,"Arnav mounts Admissions, Students, Fees, Dashboard, Auth, Users, Shared Masters here.",Not Started,Arnav,Critical,Phase 0,Avoids both editing routes/index.js.
01 Architecture-Foundation,Architecture,Route split,backend/routes/academicRoutes.js,Backend,"Precious mounts Faculty, Academics, LMS, Exams routes here.",Not Started,Precious,Critical,Phase 0,
01 Architecture-Foundation,Architecture,Route split,frontend/src/routes/coreRoutes.jsx,Frontend,"Lazy routes: auth, dashboard, admissions, students, fees, users, shared masters screens.",Not Started,Arnav,Critical,Phase 0,
01 Architecture-Foundation,Architecture,Route split,frontend/src/routes/academicRoutes.jsx,Frontend,"Lazy routes: faculty, academics, lms, exams.",Not Started,Precious,Critical,Phase 0,
01 Architecture-Foundation,Architecture,App shell,WTI-style ERP Layout + Sidebar + TopBar,Frontend,"Match Celeris WTI: collapsible left nav with 7 modules (Admissions, Students, Faculty, Academics, LMS, Exams, Fees); top context bar (workspace, search, FY, location); blue module banner.",Not Started,Arnav,Critical,Phase 0,Precious does not edit Layout/Sidebar/TopBar.
01 Architecture-Foundation,Architecture,Module chrome,ModuleShell — Dashboard | Masters | Transactions | Reports tabs,Frontend,Shared ModuleShell.jsx owned by Arnav; each module page composes it. Visual parity with /app/wti/masters card layout.,Not Started,Arnav,Critical,Phase 0,Precious imports ModuleShell only.
01 Architecture-Foundation,Architecture,UI kit,"Shared components: MasterCardGrid, DataTable, PageHeader, StatusBadge, FormDrawer",Frontend,frontend/src/components/ui/ — Celeris-like cards for Masters landing; tables for lists; consistent primary blue accents.,Not Started,Arnav,Critical,Phase 0,Single owner; Precious imports.
01 Architecture-Foundation,Architecture,API client,api/client.js + api/core/ + api/academic/,Frontend,"Axios + auth interceptor; split API folders by owner (core = Arnav, academic = Precious).",Not Started,Arnav,High,Phase 0,Precious creates only api/academic/* files.
01 Architecture-Foundation,Architecture,Institution context,models/Institution.js + FY/Location context,DB,Seed institution; financial year + location in TopBar (parity with ERP context bar).,Not Started,Arnav,High,Phase 0,
01 Architecture-Foundation,Architecture,Error handling,Global error middleware + response envelope,Backend,"{ success, data, message } shape; 4xx/5xx handlers.",Not Started,Arnav,Medium,Phase 0,
01 Architecture-Foundation,Architecture,Audit log,models/AuditLog.js + helper,Backend,"Log admission approvals, fee overrides, result publish, permission changes, refunds.",Not Started,Arnav,High,Phase 0,Precious calls writeAudit helper — does not edit model.
01 Architecture-Foundation,Architecture,Contracts doc,docs/contracts.md cross-module events,Docs,"Document: admission.enrolled, fee.paid, result.published, student.promoted, student.alumni.",Not Started,Both,Critical,Phase 0,Agree before feature coding.
01 Architecture-Foundation,Architecture,Seed runner,backend/seeds/index.js,Backend,"Seed admin user, roles, permissions, institution, sample academic year.",Not Started,Arnav,Critical,Phase 0,
02 RBAC-Auth-Users,RBAC,DB,models/Role.js,DB,"Seed roles: Super Admin, Institution Admin, Admission Officer, Faculty, Exam Controller, Accountant, Student (portal later).",Not Started,Arnav,Critical,Phase 0,
02 RBAC-Auth-Users,RBAC,DB,models/Permission.js,DB,"module + action (view|create|edit|delete|approve). Modules: admissions, students, faculty, academics, lms, exams, fees, dashboard, users, settings.",Not Started,Arnav,Critical,Phase 0,
02 RBAC-Auth-Users,RBAC,DB,models/RolePermission.js,DB,M2M role↔permission; drives dynamic left nav.,Not Started,Arnav,Critical,Phase 0,
02 RBAC-Auth-Users,RBAC,DB,models/UserMenuOverride.js,DB,Per-user grant/deny overrides.,Not Started,Arnav,High,Phase 0,
02 RBAC-Auth-Users,RBAC,DB,models/User.js,DB,"name, email, phone, password_hash, role_id, department_id?, is_active, linked_faculty_id?, linked_student_id?.",Not Started,Arnav,Critical,Phase 0,
02 RBAC-Auth-Users,RBAC,Backend,middleware/requirePermission.js,Backend,"requirePermission(module, action); resolves RolePermission + overrides.",Not Started,Arnav,Critical,Phase 0,
02 RBAC-Auth-Users,RBAC,Backend,GET /api/auth/me permissions payload,Backend,Returns permission set for Sidebar + route guards.,Not Started,Arnav,Critical,Phase 0,
02 RBAC-Auth-Users,RBAC,Frontend,PermissionContext + usePermission + ProtectedRoute,Frontend,No scattered role=== checks; menu built from permissions.,Not Started,Arnav,Critical,Phase 0,
02 RBAC-Auth-Users,User Mgmt,Backend,CRUD /api/users,Backend,Create/edit/soft-deactivate; never hard-delete users with history.,Not Started,Arnav,Critical,Phase 0,
02 RBAC-Auth-Users,User Mgmt,Backend,PUT /api/users/:id/permission-overrides,Backend,Admin toggles overrides.,Not Started,Arnav,High,Phase 1,
02 RBAC-Auth-Users,User Mgmt,Frontend,pages/users/UserList.jsx + UserForm.jsx,Frontend,Admin-only user management screens inside shell.,Not Started,Arnav,High,Phase 1,
02 RBAC-Auth-Users,User Mgmt,Frontend,pages/auth/Login.jsx,Frontend,Email + password; post-login redirect to Dashboard or first permitted module.,Not Started,Arnav,Critical,Phase 0,UI clean/professional — match ERP login simplicity.
02 RBAC-Auth-Users,Nav,Seeds,Permission seeds for 7 left-nav modules,DB,"Ensure Admissions, Students, Faculty, Academics, LMS, Exams, Fees appear when permitted.",Not Started,Arnav,Critical,Phase 0,Precious requests new permission keys via seed PR owned by Arnav OR documents keys in contracts for Arnav to add.
02 RBAC-Auth-Users,Nav,Config,"navConfig.js module metadata (icon, path, order)",Frontend,Single nav metadata file owned by Arnav; Precious only proposes new entries via PR note — Arnav merges nav keys.,Not Started,Arnav,Critical,Phase 0,Prevents Sidebar edit conflicts.
02 RBAC-Auth-Users,Audit,Backend,Log permission & user changes,Backend,Write AuditLog on role/permission/user updates.,Not Started,Arnav,Medium,Phase 1,
03 Shared-Platform-Masters,Academic Year,DB,models/AcademicYear.js,DB,"name, code, start_date, end_date, is_current, is_active.",Not Started,Arnav,Critical,Phase 1,Maps to WTI Academic Year master + Admissions master list.
03 Shared-Platform-Masters,Academic Year,Backend,CRUD /api/academic-years,Backend,In coreRoutes; set-current endpoint.,Not Started,Arnav,Critical,Phase 1,
03 Shared-Platform-Masters,Academic Year,Frontend,pages/settings/AcademicYearList/Form,Frontend,Masters-style list under Settings or Shared Masters; card entry from platform masters grid.,Not Started,Arnav,High,Phase 1,
03 Shared-Platform-Masters,Department,DB,models/Department.js,DB,"name, code, head_user_id?, is_active.",Not Started,Arnav,Critical,Phase 1,WTI Department Master parity.
03 Shared-Platform-Masters,Department,Backend,CRUD /api/departments,Backend,coreRoutes.,Not Started,Arnav,Critical,Phase 1,
03 Shared-Platform-Masters,Department,Frontend,pages/settings/DepartmentList/Form,Frontend,CRUD UI.,Not Started,Arnav,High,Phase 1,
03 Shared-Platform-Masters,Program/Course,DB,models/Program.js (Course Master),DB,"name, code, department_id, duration, program_type (trade/diploma/degree), intake_default, is_active. Description field for WTI Course Master card.",Not Started,Arnav,Critical,Phase 1,WTI Course Master; Precious links subjects later via program_id.
03 Shared-Platform-Masters,Program/Course,Backend,CRUD /api/programs,Backend,coreRoutes.,Not Started,Arnav,Critical,Phase 1,
03 Shared-Platform-Masters,Program/Course,Frontend,pages/settings/ProgramList/Form,Frontend,Course master UI matching WTI card description: trade/diploma courses.,Not Started,Arnav,High,Phase 1,
03 Shared-Platform-Masters,Institution Settings,DB/UI,Institution profile + FY display settings,All,"Name, address, logo stub, default FY — TopBar context.",Not Started,Arnav,Medium,Phase 1,
03 Shared-Platform-Masters,Shared Masters Hub,Frontend,pages/settings/SharedMastersHub.jsx,Frontend,"Card grid (WTI Masters style) linking Academic Year, Department, Program — 11-module visual language.",Not Started,Arnav,High,Phase 1,UI reference: /app/wti/masters.
03 Shared-Platform-Masters,API contracts,Docs,Document GET list shapes for Precious consumers,Docs,"programs, departments, academic-years list DTOs in docs/contracts.md.",Not Started,Arnav,High,Phase 1,Precious blocked until these APIs stable.
03 Shared-Platform-Masters,Seeds,DB,"Seed sample AY, Depts, Programs",DB,Enough data for Faculty/Academics development.,Not Started,Arnav,High,Phase 1,
04 Admissions,Admissions,Frontend,Admissions module routes + ModuleShell tabs,Frontend,Dashboard | Masters | Transactions | Reports under /admissions/* — same pattern as WTI.,Not Started,Arnav,Critical,Phase 1,
04 Admissions,Admissions,Frontend,Admissions Masters card grid,Frontend,"Cards for: Academic Year (link), Admission Cycle, Programs, Departments (link), Intake, Categories, Eligibility, Document Checklist, Fee Mapping, Scholarship Rules, Statuses.",Not Started,Arnav,Critical,Phase 1,Visual parity with WTI masters cards.
04 Admissions,Admission Cycle,DB,models/AdmissionCycle.js,DB,"academic_year_id, name, start_date, end_date, status (draft|open|closed).",Not Started,Arnav,Critical,Phase 1,
04 Admissions,Intake Capacity,DB,models/IntakeCapacity.js,DB,"cycle_id, program_id, category_id?, seats.",Not Started,Arnav,Critical,Phase 1,
04 Admissions,Admission Category,DB,models/AdmissionCategory.js,DB,"name, code, quota_percent?, is_active.",Not Started,Arnav,Critical,Phase 1,
04 Admissions,Eligibility,DB,models/EligibilityCriteria.js,DB,"program_id, min_qualification, min_marks, rules_json.",Not Started,Arnav,High,Phase 1,
04 Admissions,Document Checklist,DB,models/AdmissionDocumentType.js,DB,"name, mandatory, applies_to_program_ids[].",Not Started,Arnav,High,Phase 1,
04 Admissions,Fee Structure Mapping,DB,Admission↔FeeStructure link fields,DB,Map program + cycle to fee_structure_id (Fees module).,Not Started,Arnav,Critical,Phase 1,Coordinates with Fees masters owned by Arnav.
04 Admissions,Scholarship Rules,DB,models/ScholarshipRule.js (admission-facing),DB,"name, criteria_json, benefit_json; shared with Fees adjustments.",Not Started,Arnav,High,Phase 1,
04 Admissions,Admission Status,DB,Status enum/master,DB,"Applied, Docs Pending, Eligible, Merit Listed, Allotted, Approved, Fee Pending, Enrolled, Rejected, Waitlisted.",Not Started,Arnav,Critical,Phase 1,
04 Admissions,Masters,Backend/UI,CRUD APIs + list/form pages for all admission masters,All,"Each master: model, routes in coreRoutes, List+Form pages under pages/admissions/masters/.",Not Started,Arnav,Critical,Phase 1,
